feature,feature_group,target,baseline_mae,permuted_mae,delta_mae,relative_delta
lon_sin_1,location,wind_v,1.7341810464859009,2.7280113697052,0.9938303232192993,0.5730833728307497
lon_cos_1,location,temperature_k,1.1241883039474487,1.3918489217758179,0.26766061782836914,0.23809233461023555
lon_cos_1,location,pressure_pa,497.37060546875,715.7796020507812,218.40899658203125,0.4391272708530701
lon_cos_1,location,wind_u,1.8371793031692505,2.4868788719177246,0.6496995687484741,0.353639716944177
lon_cos_1,location,wind_v,1.7341810464859009,2.530496597290039,0.7963155508041382,0.4591882447439794
lat_sin_2,location,temperature_k,1.1241883039474487,2.0689806938171387,0.9447923898696899,0.8404218284002491
lat_sin_2,location,pressure_pa,497.37060546875,1171.2554931640625,673.8848876953125,1.3548948817757445
lat_sin_2,location,wind_u,1.8371793031692505,4.353699684143066,2.516520380973816,1.3697739663366875
lat_sin_2,location,wind_v,1.7341810464859009,3.454616069793701,1.7204350233078003,0.9920734785990453
lat_cos_2,location,temperature_k,1.1241883039474487,2.867337703704834,1.7431493997573853,1.550584891905147
lat_cos_2,location,pressure_pa,497.37060546875,835.11962890625,337.7490234375,0.6790691281789488
lat_cos_2,location,wind_u,1.8371793031692505,6.163149833679199,4.325970530509949,2.3546806362598227
lat_cos_2,location,wind_v,1.7341810464859009,3.8492960929870605,2.1151150465011597,1.2196621862447254
lon_sin_2,location,temperature_k,1.1241883039474487,2.3457608222961426,1.2215725183486938,1.0866262476306616
lon_sin_2,location,pressure_pa,497.37060546875,1114.14599609375,616.775390625,1.240072058628628
lon_sin_2,location,wind_u,1.8371793031692505,5.019621849060059,3.182442545890808,1.7322438481648978
lon_sin_2,location,wind_v,1.7341810464859009,5.407734394073486,3.6735533475875854,2.11832170293383
lon_cos_2,location,temperature_k,1.1241883039474487,2.3382797241210938,1.214091420173645,1.079971581193749
lon_cos_2,location,pressure_pa,497.37060546875,1055.4432373046875,558.0726318359375,1.1220458662006745
lon_cos_2,location,wind_u,1.8371793031692505,5.0970587730407715,3.259879469871521,1.774393748203032
lon_cos_2,location,wind_v,1.7341810464859009,5.361343860626221,3.62716281414032,2.0915710164693055
